file,block,n_tokens,speaker,source,translation
dom1Athena_L03.mes,23,5,Athena,キャー!<485C>,
dom1Athena_L03.mes,24,23,Athena,……へぇ.けっこう怖かったね.<6E5C>驚いちゃった<485C>,
dom1Athena_L03.mes,25,6,주인공,……アテナ<485C>,
dom1Athena_L03.mes,26,3,Athena,ん?<485C>,
dom1Athena_L03.mes,27,13,주인공,ほんとうに怖がってたか?<485C>,
dom1Athena_L03.mes,28,3,Athena,え?<485C>,
dom1Athena_L03.mes,29,17,주인공,なんか、驚き方が演技っぽかったぞ<485C>,
dom1Athena_L03.mes,30,60,Athena,……バレた?<6E5C>エヘ.どうも、人が出てくる<6E5C>きもだめしって、驚かそうとする<6E5C>気持ちがわかって、<6E5C>ちゃんと楽しめないのよね<485C>,
dom1Athena_L03.mes,31,34,주인공,……アテナはアイドルだけじゃ<6E5C>なく、女優にもなれるかも<6E5C>しれねぇな<485C>,
dom1Athena_L03.mes,32,21,주인공,きもだめしなんて、<6E5C>行っても面白くないぜ<485C>,
dom1Athena_L03.mes,33,39,Athena,……そんなこと言って、<6E5C>他の女の子と見るんでしょう!<6E5C>わかったよ、じゃーね!<485C>,
dom1Athena_L03.mes,34,32,주인공,あ、アテナ……!<6E5C>なんだよ、勝手に人の心を<6E5C>察知しやがって……<485C>,
dom1Athena_L04.mes,0,21,주인공,うーん、朝メシがない.<6E5C>何か買いに行くか<485C>,
dom1Athena_L04.mes,1,5,[효과음/내레이션],ガチャッ<485C>,
dom1Athena_L04.mes,2,4,Athena,<이름:3232>!<485C>,
dom1Athena_L04.mes,3,17,주인공,あれ、アテナ.こんな時間に仕事?<485C>,
dom1Athena_L04.mes,4,3,Athena,うん<485C>,
dom1Athena_L04.mes,5,27,주인공,どんどん忙しくなっていってる<6E5C>なぁ.学校、大丈夫かよ<485C>,
dom1Athena_L04.mes,6,5,Athena,平気だよ<485C>,
dom1Athena_L04.mes,7,15,주인공,でも、両立するのは難しいだろ<485C>,
dom1Athena_L04.mes,8,46,Athena,……うん.親にもマネージャー<6E5C>にも、アイドル活動に専念しなさい<6E5C>って言われてるんだけど……<485C>,
dom1Athena_L04.mes,9,5,주인공,だろうな<485C>,
dom1Athena_L04.mes,10,28,Athena,でも、仕事も大事だけど、学生の<6E5C>時間だって大事だし……<485C>,
dom1Athena_L04.mes,11,24,주인공,無理しないで、アテナの好きなよう<6E5C>にがんばれよ<485C>,
dom1Athena_L04.mes,12,12,Athena,うん.ありがとう、<이름:3232><485C>,
dom1Athena_L04.mes,13,4,주인공,あれ?<485C>,
dom1Athena_L04.mes,14,7,Athena,どうしたの?<485C>,
dom1Athena_L04.mes,15,21,주인공,あそこを歩いてるの、レオナじゃ<6E5C>ないか?<485C>,
dom1Athena_L04.mes,16,11,[선택지],呼び止める呼び止めない,
dom1Athena_L04.mes,17,15,[선택지],<0394><0001><0000><0020><0012><0002>おーい、レオナ!<485C>,
dom1Athena_L04.mes,18,5,Leona,…………<485C>,
dom1Athena_L04.mes,19,11,주인공,おはよ.何してんだ?<485C>,
dom1Athena_L04.mes,20,5,Leona,別に……<485C>,
dom1Athena_L04.mes,21,24,Athena,おはよう、レオナさん.<6E5C>何か探しものしてたの?<485C>,
dom1Athena_L04.mes,22,5,Leona,…………<485C>,
dom1Athena_L04.mes,23,33,Athena,困ってることがあったら、なんでも<6E5C>言ってね.クラスメイトでしょ?<485C>,
dom1Athena_L04.mes,24,13,Leona,……いいのよ.じゃあ……<485C>,
dom1Athena_L04.mes,25,4,Athena,あ……<485C>,
dom1Athena_L04.mes,26,25,주인공,……行っちゃったな.相変わらず<6E5C>愛想のないやつだ<485C>,
dom1Athena_L04.mes,27,12,Athena,……被女、やっぱり……<485C>,
dom1Athena_L04.mes,28,6,주인공,どうした?<485C>,
dom1Athena_L04.mes,29,51,Athena,……レオナさん、大事な何かを探し<6E5C>てるわ.誰にも知られないように、<6E5C>顔に出さないようにしてるけど……<485C>,
dom1Athena_L04.mes,30,9,주인공,大事な何かって?<485C>,
dom1Athena_L04.mes,31,33,Athena,……<이름:3232>なら、それを探して<6E5C>あげることができるかも<6E5C>しれないわね<485C>,
dom1Athena_L04.mes,32,11,주인공,え?なんで俺なんだよ<485C>,
dom1Athena_L04.mes,33,21,Athena,なんとなく、そう思うだけなん<6E5C>だけど……<485C>,
dom1Athena_L04.mes,34,8,주인공,何してんのかな<485C>,
dom1Athena_L04.mes,35,34,Athena,何か探しものかしら?<6E5C>あ、もうマネージャーが来る.<6E5C>じゃあね、<이름:3232><485C>,
dom1Athena_L04.mes,36,3,주인공,ああ<485C>,
dom1Athena_L05.mes,0,4,UNKNOWN_13,<이름:3232>!<485C>,
dom1Athena_L05.mes,1,4,주인공,アテナ<485C>,
dom1Athena_L05.mes,2,9,Athena,やっと夏休みだね<485C>,
dom1Athena_L05.mes,3,24,주인공,ああ.でも、アテナには休みなんか<6E5C>ないんだろ?<485C>,
dom1Athena_L05.mes,4,30,Athena,忙しいけどね.<6E5C>でも、ちゃんと遊ぶときは遊ぶよ!<6E5C><이름:3232>は?<485C>,
dom1Athena_L05.mes,5,7,주인공,俺は別に……<485C>,
dom1Athena_L05.mes,6,27,Athena,最近はいろんな女の子と遊ぶ約束し<6E5C>てるんじゃないの?<485C>,
dom1Athena_L05.mes,7,11,주인공,え、そんなことないよ<485C>,
dom1Athena_L05.mes,8,10,Athena,ふーん.どうかな?<485C>,
dom1Athena_L05.mes,9,5,주인공,なんだよ<485C>,
dom1Athena_L05.mes,10,24,Athena,わたしのコンサート、31日だよ.<6E5C>来てくれる?<485C>,
dom1Athena_L05.mes,11,7,[선택지],行くわからない,
dom1Athena_L05.mes,12,7,주인공,ああ、行くよ<485C>,
dom1Athena_L05.mes,13,12,Athena,ほんとう!?約束だよ?<485C>,
dom1Athena_L05.mes,14,17,주인공,ああ.歌詞、トチったりすんなよ?<485C>,
dom1Athena_L05.mes,15,15,Athena,もー.そんなことしないよっ!<485C>,
dom1Athena_L05.mes,16,13,주인공,そうだな、行けたら行くよ<485C>,
dom1Athena_L05.mes,17,25,Athena,そっかぁ.デートで忙しくって、<6E5C>わかんないよねー<485C>,
dom1Athena_L05.mes,18,9,주인공,嫌味な言い方だな<485C>,
dom1Athena_L05.mes,19,6,Athena,そーかな?<485C>,
dom1Athena_L06.mes,0,6,[효과음/내레이션],♪。♪。♪<485C>,
dom1Athena_L06.mes,1,23,주인공,あれ、俺のケータイが鳴るなんて<6E5C>めずらしいな<485C>,
dom1Athena_L06.mes,2,3,[효과음/내레이션],ピッ<485C>,
dom1Athena_L06.mes,3,5,주인공,もしもし<485C>,
dom1Athena_L06.mes,4,11,Athena,<이름:3232>……今、大丈夫?<485C>,
dom1Athena_L06.mes,5,11,주인공,アテナか.どうした?<485C>,
dom1Athena_L06.mes,6,6,Athena,……ゴメン<485C>,
dom1Athena_L06.mes,7,3,주인공,え?<485C>,
dom1Athena_L06.mes,8,49,Athena,今夜の花火大会、急に仕事が入って<6E5C>行けなくなっちゃったの<485C>絶対に<이름:3232>と見るって<6E5C>約束したのに……<485C>,
dom1Athena_L06.mes,9,22,[선택지],仕事じゃしかたないよいっしょに見たかったのに,
dom1Athena_L06.mes,10,11,주인공,仕事じゃしかたないよ<485C>,
dom1Athena_L06.mes,11,15,Athena,うん…….ほんとうにゴメンッ<485C>,
dom1Athena_L06.mes,12,9,주인공,そんなに謝るなよ<485C>,
dom1Athena_L06.mes,13,19,Athena,でも、毎年いっしょに見てたの<6E5C>に……<485C>,
dom1Athena_L06.mes,14,23,주인공,いつまでもいっしょってわけには<6E5C>いかないだろ<485C>,
dom1Athena_L06.mes,15,5,Athena,…………<485C>,
dom1Athena_L06.mes,16,22,주인공,花火くらいで落ち込むなよ.<6E5C>また来年あるし<485C>,
dom1Athena_L06.mes,17,6,Athena,来年か……<485C>,
dom1Athena_L06.mes,18,15,주인공,じゃ、仕事がんばれよ.アテナ<485C>,
dom1Athena_L06.mes,19,11,Athena,うん.……ありがとう<485C>,
dom1Athena_L06.mes,20,3,[효과음/내레이션],ピッ<485C>,
dom1Athena_L06.mes,21,14,주인공,いっしょに見たかったのにな<485C>,
dom1Athena_L06.mes,22,20,Athena,わたしだっていっしょに見たかった<6E5C>よ!<485C>,
dom1Athena_L06.mes,23,33,주인공,……そうだな.アテナの方が悔しい<6E5C>よな、毎年、楽しみにしてたのに<485C>,
dom1Athena_L06.mes,24,5,Athena,……うん<485C>,
dom1Athena_L06.mes,25,13,주인공,来年、いっしょに見ようぜ<485C>,
dom1Athena_L06.mes,26,5,Athena,来年……<485C>,
dom1Athena_L06.mes,27,8,주인공,どうかしたか?<485C>,
dom1Athena_L06.mes,28,26,Athena,ううん.そうだね、来年、いっしょ<6E5C>に見ようね、<이름:3232><485C>,
dom1Athena_L06.mes,29,16,주인공,ああ、約束だ.仕事、がんばれよ<485C>,
dom1Athena_L06.mes,30,5,Athena,うん……<485C>,
dom1Athena_L06.mes,31,3,[효과음/내레이션],ピッ<485C>,
dom1Athena_L07.mes,0,27,주인공,やっぱ、たまに来るといいよな.<6E5C>こういう情緒ある街は<485C>,
dom1Athena_L07.mes,1,9,Athena,待ってよ、<이름:3232>!<485C>,
dom1Athena_L07.mes,2,25,Athena,もぅ、ひとりで行かないでよ.<6E5C>ふたりで来てるのに<485C>,
dom1Athena_L07.mes,3,41,주인공,わりぃ.いや、まさか本当にアテナ<6E5C>と来れると思わなかったよ.<6E5C>ダメ元で誘ったのに<485C>,
dom1Athena_L07.mes,4,28,Athena,わたしも休みもらえてビックリ.<6E5C>日頃の努力の<580A>物かな?<485C>,
dom1Athena_L07.mes,5,41,주인공,アテナはがんばり屋だからな.<6E5C>たまにはこうやって羽をのばさない<6E5C>と倒れちゃうだろ<485C>,
dom1Athena_L07.mes,6,27,Athena,マネージャーにも言われたよ.<6E5C>ゆっくり休んでこいって<485C>,
dom1Athena_L07.mes,7,15,주인공,おう!じゃ、まずはどこ行く?<485C>,
dom1Athena_L07.mes,8,21,Athena,そうだなぁ.おみやげを買いに<6E5C>行きたいな<485C>,
dom1Athena_L07.mes,9,13,주인공,い、いきなりおみやげかよ<485C>,
dom1Athena_L07.mes,10,26,Athena,ねぇ、スタッフへのおみやげ、<6E5C>どっちがいいと思う?<485C>,
dom1Athena_L07.mes,11,18,[선택지],もみじまんじゅうクッキーの詰め合わせ,
dom1Athena_L07.mes,12,28,[선택지],<0188><0001><0000><0038><002C><0002>もみじまんじゅうなんて、<6E5C>いいんじゃないか<485C>,
dom1Athena_L07.mes,13,14,Athena,そうだね!わたしも大好き!<485C>,
dom1Athena_L07.mes,14,26,주인공,アテナ、むかし食いすぎて腹壊した<6E5C>ことあったもんな<485C>,
dom1Athena_L07.mes,15,27,Athena,もー、そんなこといつまでも覚えて<6E5C>なくていいよ、<이름:3232><485C>,
dom1Athena_L07.mes,16,28,주인공,おみやげって言って、自分のために<6E5C>買うんじゃないのか?<485C>,
dom1Athena_L07.mes,17,11,Athena,そんなことないよっ!<485C>,
dom1Athena_L07.mes,18,17,주인공,クッキーだったら誰でも食べるだろ<485C>,
dom1Athena_L07.mes,19,13,Athena,そうだね.そうしようかな<485C>,
dom1Athena_L07.mes,20,31,주인공,でも、人のことよりまずは自分<6E5C>だろ.アテナは気を遣いすぎだぞ<485C>,
dom1Athena_L07.mes,21,7,Athena,そうかなぁ?<485C>,
dom1Athena_L07.mes,22,21,주인공,けっきょく買い物で一日つぶれ<6E5C>ちゃったな<485C>,
dom1Athena_L07.mes,23,40,Athena,フフッ.ついでに色んなところを<6E5C>見ることができたし良かったじゃ<6E5C>ない.……あっ<485C>,
dom1Athena_L07.mes,24,28,주인공,おっと.……石<6A06>はつまずきやすい<6E5C>からな.気をつけ……<485C>,
dom1Athena_L07.mes,25,5,Athena,…………<485C>,
dom1Athena_L07.mes,26,28,주인공,(う、後ろから抱きしめるかたちに<6E5C>なってしまった……)<485C>,
dom1Athena_L07.mes,27,5,Athena,<이름:3232>……<485C>,
dom1Athena_L07.mes,28,20,주인공,(アテナの瞳……キラキラして<6E5C>る……)<485C>,
dom1Athena_L07.mes,29,8,Athena,<이름:3232>……私……<485C>,
dom1Athena_L07.mes,30,3,[효과음/내레이션],パッ<485C>,
dom1Athena_L07.mes,31,21,주인공,わ、悪い.じゃあ……そろそろ旅館<6E5C>行くわ<485C>,
dom1Athena_L07.mes,32,9,Athena,あ…….うん……<485C>,
dom1Athena_L07.mes,33,6,주인공,また明日な<485C>,
dom1Athena_L07.mes,34,11,Athena,うん.また、明日……<485C>,
dom1Athena_L07.mes,35,5,주인공,…………<485C>,
dom1Athena_L08.mes,0,15,Athena,<이름:3232>!水がすっごく冷たいよ!<485C>,
dom1Athena_L08.mes,1,5,주인공,お、おう<485C>,
dom1Athena_L08.mes,2,14,Athena,早く泳ごう?きもちいいよ!<485C>,
dom1Athena_L08.mes,3,21,주인공,ほんとうに水着持ってきたんだな、<6E5C>アテナ<485C>,
dom1Athena_L08.mes,4,28,Athena,あたりまえじゃない.海に来て、<6E5C>泳がなくてどうするの?<485C>,
dom1Athena_L08.mes,5,37,주인공,でも…….アイドルがそんな<6E5C>プライベートで堂々と水着に<6E5C>なっていいのか?<485C>,
dom1Athena_L08.mes,6,50,Athena,そんなの関係ないよ!<485C>今日は芸能人じゃなくて、<6E5C>ただの麻宮アテナとして<6E5C><이름:3232>と遊びに来てるんだもん<485C>,
dom1Athena_L08.mes,7,43,주인공,そうだけど…….もう、周りには<6E5C>アイドルの麻宮アテナだって<6E5C>こと、バレてるみたいだぜ<485C>,
dom1Athena_L08.mes,8,24,Athena,え?あ……ほんとだ.<6E5C>みんなじろじろ見てる……<485C>,
dom1Athena_L08.mes,9,13,[선택지],かまわず遊ぶアテナをかばう,
dom1Athena_L08.mes,10,28,주인공,まぁいっか.海の中に入ったらわか<6E5C>らねぇよな.遊ぼうぜ<485C>,
dom1Athena_L08.mes,11,5,Athena,う、うん<485C>,
dom1Athena_L08.mes,12,11,UNKNOWN_14,あのー、すいませーん<485C>,
dom1Athena_L08.mes,13,3,Athena,え?<485C>,
dom1Athena_L08.mes,14,25,UNKNOWN_14,アテナちゃんですよね?<6E5C>握手してもらえませんか?<485C>,
dom1Athena_L08.mes,15,16,UNKNOWN_15,いっしょに写真<530C>ってください!<485C>,
dom1Athena_L08.mes,16,5,Athena,あ、あの<485C>,
dom1Athena_L08.mes,17,21,주인공,しまった…….遊ぶどころじゃねー<6E5C>な……<485C>,
dom1Athena_L08.mes,18,18,UNKNOWN_29,<0134><0000><0000><0000><0000><0000><0020><0012><0002>アテナ、こっち!<485C>,
dom1Athena_L08.mes,19,3,Athena,え?<485C>,
dom1Athena_L08.mes,20,37,주인공,人の少ないところで泳ごう.<6E5C>じゃないと、ふたりでゆっくり<6E5C>遊べないだろ?<485C>,
dom1Athena_L08.mes,21,6,Athena,……うん!<485C>,
dom1Athena_L08.mes,22,7,[효과음/내레이션],タタタタ……<485C>,
dom1Athena_L08.mes,23,22,주인공,……こういうのも、ちょっとおもし<6E5C>ろいよな<485C>,
dom1Athena_L08.mes,24,12,Athena,うん、ドキドキするね!<485C>,
dom1Athena_L08.mes,25,56,주인공,(なんだかんだで、いつの間にか<6E5C>帰る時間になってしまった<485C>あっという間の二日間だった<6E5C>けど、楽しかったな……)<485C>,
dom1Athena_L09.mes,0,7,[효과음/내레이션],♪ピンポ~ン<485C>,
dom1Athena_L09.mes,1,4,주인공,はーい<485C>,
dom1Athena_L09.mes,2,5,[효과음/내레이션],ガチャッ<485C>,
dom1Athena_L09.mes,3,15,Athena,<이름:3232>!お誕生日、おめでとう!<485C>,
dom1Athena_L09.mes,4,12,주인공,……ほんとうに来たんだ<485C>,
dom1Athena_L09.mes,5,14,Athena,なぁに?嬉しくなさそうな顔<485C>,
dom1Athena_L09.mes,6,12,[선택지],そ、そうかな……違うよ!,
dom1Athena_L09.mes,7,20,주인공,そ、そうか……?そ、そんなこと<6E5C>ないよ<485C>,
dom1Athena_L09.mes,8,16,Athena,……<이름:3232>、いま誰のこと考えた?<485C>,
dom1Athena_L09.mes,9,11,주인공,え!?いや、別に……<485C>,
dom1Athena_L09.mes,10,28,Athena,他の人と約束してるならそう言えば<6E5C>いいのに!じゃあね!<485C>,
dom1Athena_L09.mes,11,5,[효과음/내레이션],バタンッ<485C>,
dom1Athena_L09.mes,12,33,주인공,あ…….悪いことしたな.アテナに<6E5C>は嘘って通用しないんだよな……<485C>,
dom1Athena_L09.mes,13,39,UNKNOWN_29,<03A8><0000><0000><0000><0000><0000><0048><003C><0002>違うよ!嬉しくて、どういう顔し<6E5C>ていいのかわからないんだよ<485C>,
dom1Athena_L09.mes,14,8,Athena,フフ、変なの!<485C>,
dom1Athena_L09.mes,15,41,주인공,ありがとう…….アテナは、毎年俺<6E5C>の誕生日を忘れたことがないよな.<6E5C>すげぇよ……<485C>,
dom1Athena_L09.mes,16,80,Athena,あたりまえじゃない.女の子は、<6E5C>友達の誕生日を忘れたりしないん<6E5C>だよ!<485C>……まさか<이름:3232>、10年以上の<6E5C>付き合いなのに、わたしの誕生日<6E5C>忘れたりしてないよねぇ?<485C>,
dom1Athena_L09.mes,17,4,주인공,え……<485C>,
dom1Athena_L09.mes,18,10,[선택지],4月13日3月14日,
dom1Athena_L09.mes,19,16,주인공,覚えてるよ!4月13日だろ!?<485C>,
dom1Athena_L09.mes,20,5,Athena,…………<485C>,
dom1Athena_L09.mes,21,9,주인공,え、間違えた!?<485C>,
dom1Athena_L09.mes,22,10,Athena,もう!<이름:3232>のバカ!<485C>,
dom1Athena_L09.mes,23,5,[효과음/내레이션],バタンッ<485C>,
dom1Athena_L09.mes,24,4,주인공,あ……<485C>,
dom1Athena_L09.mes,25,15,주인공,覚えてるよ.3月14日だろ?<485C>,
dom1Athena_L09.mes,26,33,Athena,良かった!<6E5C>じゃあ来年の誕生日プレゼント、<6E5C>期待してるからね!?<485C>,
dom1Athena_L09.mes,27,16,주인공,おいおい、今は俺の誕生日だろ?<485C>,
dom1Athena_L09.mes,28,4,Athena,フフッ<485C>,
dom1Athena_L10.mes,0,7,[효과음/내레이션],♪ピンポ~ン<485C>,
dom1Athena_L10.mes,1,3,주인공,はい<485C>,
dom1Athena_L10.mes,2,5,[효과음/내레이션],ガチャッ<485C>,
dom1Athena_L10.mes,3,5,Athena,……<이름:3232><485C>,
dom1Athena_L10.mes,4,20,주인공,アテナ.どうしたんだよ、そんな<6E5C>顔して<485C>,
dom1Athena_L10.mes,5,41,Athena,……わたし、みんなといっしょに<6E5C>清<C706>学園を卒業したい.<6E5C><이름:3232>たちと離れたくない!<485C>,
dom1Athena_L10.mes,6,10,주인공,どういうことだよ!<485C>,
dom1Athena_L10.mes,7,64,Athena,……わたし、9月から東京に行かな<6E5C>いといけないかもしれないの<485C>マネージャーに、東京でアイドル<6E5C>活動に専念しようって言われて……<485C>,
dom1Athena_L10.mes,8,5,주인공,…………<485C>,
dom1Athena_L10.mes,9,34,Athena,どうしよう、<이름:3232>!<6E5C>このまま、東京に行かないと<6E5C>いけないのかな!?<485C>,
dom1Athena_L10.mes,10,29,[선택지],アテナはもうアイドルなんだから離れても気持ちは通じるだろ?,
dom1Athena_L10.mes,11,45,주인공,……アテナはもう立派なアイドルな<6E5C>んだから、そんな子供みたいなわが<6E5C>まま、言えないだろ?<485C>,
dom1Athena_L10.mes,12,5,Athena,…………<485C>,
dom1Athena_L10.mes,13,30,주인공,東京に呼ばれるなんて、すごいこと<6E5C>じゃないか.喜んで行けよ<485C>,
dom1Athena_L10.mes,14,7,Athena,……そうだね<485C>,
dom1Athena_L10.mes,15,33,주인공,離れても応援してるよ.周りの心が<6E5C>わかるアテナなら、大丈夫だって<485C>,
dom1Athena_L10.mes,16,16,Athena,……うん.<이름:3232>、ありがとう……<485C>,
dom1Athena_L10.mes,17,45,UNKNOWN_29,<01C0><0000><0000><0000><0000><0000><0054><0048><0002>……たとえ東京に行っちゃっても、<6E5C>俺とアテナの気持ちは通じてる<6E5C>だろ?<485C>,
